Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Late show (The)	Chat connaît l'assassin (Le)	BENTON Robert	Coul.	1977 / USA	 / WR (Robert Altman)	pol.	Art Carney, Bill Macy, Eugene Roche, Howard Duff, John Considine, John Davey, 	Lily Tomlin, Joanna Cassidy, Ruth Nelson, 	B.TB.	R. Benton		Charles Rosher Jr.	Ken Wannberg	
Kramer vs Kramer	Kramer contre Kramer	BENTON Robert	Coul.	1979 / USA	 / COL / Stanley R. Jaffe 	com. dr.	Dustin Hoffman, Justin Henry, Howard Duff, George Coe, Jobeth Williams, Bill Moor, Howland Chamberlain, Jack Ramage, Jess Osuna, Joe Seneca, David Golden, Nicholas Hormann, 	Meryl Streep, Jane Alexander, JoBeth Williams, Shelby Brammer, Ellen Parker, 	B.	R. Benton	rom. d'Avery Corman	Nestor Almendros	Antonio Vivaldi + Henry Purcell	
Still of the night	Mort aux enchères (La)	BENTON Robert	Coul.	1983 / USA	 / MGM-UA (Arlette Donovan)	dr.	Roy Scheider, Joe Grifasi, Josef Sommer, Rikke Borge, Irving Metzman, Larry Joshua, Sigrunn Omark, John Betley, Will Rose, Hyon Cho, Arnold Glimcher, Tom Norton, Randy Jurgensen, Richmond Hoxie, 	Meryl Streep, Jessica Tandy, Sara Botsford, Danielle Cusson, 	Bon.B.	R. Benton	suj. de David Newman + R. Benton	Nestor Almendros	John Kander + John Gibson	
Places in the heart	Saisons du coeur (Les)	BENTON Robert	Coul.	1984 / USA	 / Tri Star (Arlene Donovan)	dr.	Lindsay Crouse, Ed Harris, John Malkovich, Danny Glover, Genny James, Yankton Hatten, Lane Smith, Bob Porter, Matthew Posey, Jay Patterson, DeVoreaux White, Bill Thurman, Bert Remsen, Robert Schenkkan, Gregg Brazzel, Ned Dowd, Randy Fife, Ray Baker, Terry O'Quinn, Paul Nuckles, Jim Gough, Vernon Grote, Jerry Haynes, 	Sally Field, Amy Madigan, Sharon Schaffer, Norma Young, Shelby Brammer, 	B+.	R. Benton		Nestor Almendros	John Kander	
Nadine a bullet-proof love	Nadine	BENTON Robert 	Coul.	1987 / USA	 / Tri Star (Arlene Donovan + Wolfgang Glattes)	pol.	Jeff Bridges, Rip Torn, Jerry Stiller, Jay Patterson, William Youmans, Gary Grubbs, Mickey Jones, Blue Deckert, John Berryman, Linwood P. Walker III, Ray Walker, Blue Deckert, John Galt, Harlan Jordan, James Harrell, Lloyd Catlett, 	Kim Basinger, Gwen Verdon, Glenne Headly, Shelby Brammer, Sidney Brammer, 	"Bon. Totalement mineur, mais sans méchanceté, entre autres dans la présentation des ""méchants"" ; d'ailleurs l'imagerie est totalement rose bonbon."	R. Benton		Nestor Almendros	Howard Shore	
Nobody's fool	Homme presque parfait (Un)	BENTON Robert 	Coul. / Panavision / 110mn	1994 / USA	 / PAR / Capella / Scott Rudin - Cinehaus Prod. ( + Arlene Donovan)	com. dr.	Paul Newman, Bruce Willis, Dylan Walsh, Pruitt Taylor Vince, Gene Saks, Josef Sommer, Philip Seymour Hoffman, Philip Bosco, Alexander Goodwin, Carl John Matusovivh, Jay Patterson, Jerry Mayer, Richard Mawe, Joe Paparone, John Leighton, 	Jessica Tandy, Melanie Griffith, Catherine Dent, Angela Pietropinto, Alice Drummond, Margo Martindale, Angelica Torn, Shannah Laumeister, 	B-. Un petit récit sympathique, au démarrage un peu lent, mais qui prend une belle qualité humaine dans sa seconde partie, merveilleusement soutenue par un Newman et une Tandy émouvants.	Robert Benton	rom. de Richard Russo	John Bailey	Howard Shore	
Twilight	Heure magique (L')	BENTON Robert 	Coul. / Panavision / 94mn	1994 / USA	 / PAR / Scott Rudin - Cinehaus Prod. (Scott Rudin + Arlene Donovan)	pol.	Paul Newman, Gene Hackman, James Garner, Giancarlo Esposito, Liev Schreiber, John Spencer, M. Emmett Walsh, Peter Gregory, Rene Mujica, 	Susan Sarandon, Stockard Channing, Reese Whitherspoon, Margo Martindale, 	"B. 23 ans après le dernier Harper, 25 ans après le ""Long goodbye"" d'Altman, Newman reprend un rôle qui s'inspire des 2, sur un scenario solide et bien écrit, avec l'humour et la noirceur nécessaires, mais un rythme insuffisant. Agréablement nostalgique, avec une fin qui glisse quelques bonnes idées sur les rapports entre les riches et leurs exécuteurs de basses oeuvres, mais qui laisse aussi quelques points flous dans la résolution de l'intrigue."	Robert Benton + Richard Russo		Piotr Sobocinski	Elmer Bernstein	
Tortue sur le dos (La)		BÉRAUD Luc	Coul.	1973 / F	 / Filmoblic Prod. (Hubert Niogret)	com. dr.	Jean-François Stévenin, Claude Miller, Jean Dasté, Étienne Chicot, Michel Blanc, 	Bernadette Lafont, Virginie Thévenet, Véronique Silver, Marion Game, Valérie Quennessen, 	Bon.B.	Luc Beraud		Bruno Nuytten		
Enquête corse (L')		BERBÉRIAN Alain	Coul. / Panavision	2004 / F	 / (Alain Goldman)	pol.	Christian Clavier, Jean Reno, Didier Flamand, Pierre Salasca, Pido, Alain Maratratr, François Orsoni, Nathanaël Maïni, Albert Dray, Daniel Delorme, Guy Cimino, Jo Fondacci, Philippe Guerrini, Tzek, Jean-François Perrone, Jean-Emmanuel Pagni, Christian Gautier, Xavier de Guiullebon, 	Catrina Murino, Elisabeth Kaza, Nathalie Kreebs, Olga Sekulic, Corine Cancionni, 	"Bon+. Une réalisation molle sur un scenario modérément drôle et sympathiquement caricatural autour d'une ""inchjesta corsa"" de boulevard. Clavier est creux à souhait et Reno peu authentiquement corse, mais quelques clins d'oeil sentent presque le maquis... L'insularité ne sera cependant toujours pas comprise après cette pochade. "	Christian Clavier + Michel Delgado	B. D. de Pétillon	Pascal Gennesseaux	Alexandre Desplat	
CITE DE LA PEUR, UNE COMEDIE FAMILIALE (La)		BERBERIAN Alain 	Coul.	1994 / F 			Alain CHABAT, Dominique FARRUGIA, Gérard DARMON,	Chantal LAUBY,						
Breaker Morant	Héros ou salopards	BERESFORD Bruce	Coul. / Panavision	1979 / Australie	 / South Austr. Film Corp. (Matthew Carroll)	dr.	"Edward Woodward, Jack Thompson, John Waters, Charles ""Bud"" Tingwell, Terence Donovan, Vincent Ball, Rod Mullinar, Lewis Fitzgerald, Bryan Brown, Lewis Fitzgerald, Frank Wilson, Alan Cassell, Russell Kiefel, Wayne Bell, Chris Haywood, Alan Lovett, Dick Henderson, Rob Steele, Ray Meagher, Ian Gray, "	Judy Dick, Barbara West, 	B+.	Jonathan Hardy + B. Beresford + David Stevens	pièce de Kenneth Roth	Donald McAlpine	Phil Cunneen	
Tender mercies		BERESFORD Bruce	Coul. / Panavision / 100mn	1983 / USA	 / Antron Media Prod. (Philip S. Hobel)	com. dr.	Robert Duvall, Wilford Brimley, Allan Hubbard, Lenny Von Dohlen, Paul Gleason, Michael Crabtree, Norman Bennett, 	Tess Harper, Betty Buckley, Ellen Barkin, 	Bon+. Une nostalgie de bazar pour cette histoire sans réelle épaisseur, pour laquelle le scénariste (!) et Duvall reçurent un Oscar... la mise en scène est saccharinée et mollassonne à la mode Beresford, c. à d. très guimauvée. La photo cadre habilement et joliment la tristesse de la campagne et de la vie texane, c'est le seul mérite du film.	Horton Foote		Russell Boyd	George Dreyfuss	
Driving Miss Daisy	MISS DAISY et SON CHAUFFEUR	BERESFORD Bruce	Coul.	1989 / USA			Morgan FREEMAN, Dan AYKROYD, 	Jessica TANDY,						
Her Alibi	Son alibi	BERESFORD Bruce	Coul. / Panavision / 94mn	1989 / USA	 / WR (Keith Barish)	com. pol.	Tom Selleck, William Daniels, James Farentino, Hurd Hatfield, Ronald Guttman, Victor Argo, Patrick Wayne, Bill Smitrovich, Bobo Lewis, Austin Hay, W. Benson Terry, Alan Mixon, 	Paulina Porizkova, Tess Harper, Jane Welch, Joan Copeland, Liliana Komorowska, Barbara Caruso	Bon+. Un scenario totalement faible, aussi faible que les romans policiers écrits par le personnage de Selleck, et une mise en scène et une direction d’acteurs du même tonneau, qui nous fait tristement penser qu’on regarde là un film TV... ce n’est même pas le cas, mais on s’aperçoit que Selleck, qui passe très sympathiquement à la TV, n’a pas vraiment l’envergure nécessaire au cinéma. La Paulina est ravissante !	Charlie Peters		"Freddie Francis	"	Georges Delerue	
Black robe	Robe noire	BERESFORD Bruce	Coul. / Panavision	1991 / Canada - Australie	 / Alliance Com. - Samson Prod. (Robert Lantos + Stéphane Reichel + Sue Milliken)	western, av.	Lothaire Bluteau, Aden Young, August Schellenberg, Billy Two Rivers, Lawrence Bayne, Harrison Liu, Wesley Coté, Frank Wilson, François Tassé, Jean Brousseau, Yvan Labelle, Raoul Trujillo, James Bobbish, Denis Lacroix, Gilles Plante, Gordon Tootoosis, Claude Préfontaine, Deano Clavet, 	Sandrine Holt, Tantoo Cardinal, Marthe Turgeon, 	"B. Le démarrage est pénible du fait d'une mise en scène laborieuse et du parti pris de faire parler anglais aux Québécois. Ensuite, l'angle ethnologique prend le dessus et la mise en scène se cale avec élan sur les paysages et les décors. Les affrontements culturels entre Indiens et Français d'une part, et tribaux entre Hurons et Iroquois sont très intéressants, et c'est sans surprise qu'ici, en opposition avec la vision anglo-saxonne, les Hurons ont la part belle. Au final, cet ""eastern"" est assez passionnant, pour des raisons finalement peu cinématographiques. Belle musique de Delerue."	Brian Moore	son rom.	Peter James	Georges Delerue	
Last dance	Dernière danse	BERESFORD Bruce	Coul. / Panavision	1995 / USA	 / Buena Vista / Touchstone Pict. (Steven Haft)	dr.	Rob Morrow, Randy Quaid, Peter Gallagher, Jack Thompson, Skeet Ulrich, Ken Jenkins, John Cunningham, Don Harvey, 	Sharon Stone, Jayne Brook, Pamela Tyson, Mimi Craven, 	B-.	Steven Haft + Ron Koslow		Peter James	Mark Isham	
Mr. Church		BERESFORD Bruce	Coul. / Panavision / 104mn	2016 / USA	 / Cinelou - Envision Media Arts - Shengua Ent. (Lee Nelson + Courtney Salomon + Mark Canton + David Buelow)	com. dr.	Eddie Murphy, Xavier Samuel, Lucy Fry, Madison Wolfe, Lincoln Melcher, Christian Madsen, Thom Barry	Britt Robertson, Natascha McElhone, Mckenna Grace, 	Bon+B-. Une jolie histoire servie sur le mode sachariné et mollasson habituel à Beresford, mais dont les qualités d’émotions (même si elles sont faciles) et d’humanité sont chaleureuses. Murphy, qui n’a jamais fait l’effort de démontrer la variété de ses talents, est (toujours) sympathique et excellents, les actrices charmantes.	Susan McMartin	une histoire vraie ?	Sharone Meir	Mark Isham	
Hancock	Hancock	BERG Peter	Coul. / Panavision	2008 / USA	 / COL / Weed Road Pict. - Blue light - Overbrook Entert. (Akiva Goldsman + Michael Mann + Will Smith + James Lassiter)	fant., pol.	Will Smith, Jason Bateman, Eddie Marsan, Johnny Galecki, Thomas Lennon, Johnny Galecki, Michael Mann, 	Charlize Theron, 	Bon. Le scenario s'essaye à quelques nouvelles idées sur un thème déjà éculé et devenu redondant, mais on fatigue d'entrée avec les effets spéciaux, la musique et le travail à la caméra, le tout vainement agité. Quelques finesses dans les idées, mais vite gâchées par la réalisation.	Vy Vincent Ngo + Vince Gilligan		Tobias Schliessler		
Deepwater horizon	Deepwater	BERG Peter	Coul. / Panavision / 107mn	2016 / USA - Hong-Kong	 / Summit Ent. - Di Bonabeture Pic. - Participant media (Korenzo di Bonaventura + mark Vahradian + Mark Wahlberg + David Womark)	av. dr.	Mark Wahlberg, Kurt Russell, John Malkovich, Dylan O'Brien, David Maldonado, Ethan Suplee, Henry Frost, Jeremy Sande, Brad Leland, J.D. Evermore, Douglas M. Griffin, Joe Chrest, James DuMont, Chris Ashworth,	Gina Rodriguez, Kate Hudson, Sue-Lynn Ansari, 	Bon+. Cette évocation de l’accident de 2010 qui provoqua la plus grande fuite de pétrole de l’histoire des USA est plus impressionnante par les faits et l’action que par leur mise en scène, ordinairement conforme aux canons actuels du genre. La mise en place est laborieuse, nous infligeant des indices annonciateurs d’une lourdeur coupable, puis traitant l’action avec force pyrotechnie, évidement, mais sans talent. Les comédiens sont sérieusement au boulot, évoquant avec allant les débats réels du drame.	Matthew Michael Carnahan + Matthew Sand	article de David Rohde + Stephanie Saul	Enrique Chediak	Steve Jablonsky	
Thief of Bagdad (The)	Voleur de Bagdad (Le)	BERGER Ludwig + POWELL Michael + WHELAN Tim 	Coul.	1940 / UK	2 / London Films (Alexander Korda + Alaxander KORDA + William CameronMENZIES )	av.	Conrad Veidt, Sabu, John Justin, Morton Selten, Miles Malleson, Rex Ingram, Bruce Winston, Hay Petrie, Roy Emmerton, Allan Jeayes, Tim Whelan, David Sharpe, Frederick Burtwell, Miki Hood, John Salew, Norman Pierce, Michael Powell, 	June Duprez, Mary Morris, Adelaide Hall, Glynis Johns, 	"Bon puis B-. Des aventures ""mollement toniques"", assez joyeuses, dans un Technicolor superbe, mais à la réalisation un peu poussive et académique, jusque dans son inventivité même. Un certain charme perce malgré l'ennui et une musique omniprésente et poussive. Veidt, Sabu et Ingram valent bien mieux que les 2 héros ""positifs""."		Georges Périnal + Osmond H. BorradaileCons. coul. : Natalie KalmusDir. art. : Zoltan Korda	Miklos Rozsa		
It could happen to you	Milliardaire malgré lui	BERGMAN Andrew	Coul. / Panavision / 101mn	1994 / USA	 / TriStar / (Mike Lobell)	com.	Nicolas Cage, Wendell Pierce, Isaac Hayes, Seymour Cassel, Stanley Tucci, Red Buttons, Richard Jenkins, J. E. Freeman, Victor Rojas, Robert Dorfman, Charles Busch, 	Bridget Fonda, Rosie Perez, Beatrice Winde, 	Bon. Une niaiserie pitoyable, petitement écrite, aussi mollement dirigée qu'interprétée par des acteurs peu charismatiques, sauf peut-être la Bridget Fonda.	Jane Anderson		Caleb Deschanel	Carter Burwell + Joe Mulherin	
Sommaren med Monika	Eté avec Monika (Un)	BERGMAN Ingmar	NB	1952 / Suède		dr.	Lars Ekborg, John Harryson, Georg Skarstedt, Ake Fridell, Ake Grongberg, 	Harriett Anderson, Dagmar Ebbesen, Naemi Briese, 	B.	I. Bergman + P. A. Fogelström	rom. de P. A. Fogelström	Gunnar Fisher	Erik Nordgren	
Gycklarnas afton	Nuit des forains (La)	BERGMAN Ingmar	NB	1953 / Suède		dr.	Ake Grönberg, Gunnar Björnstrand, Hasse Ekman, Anders Ek, Erik Strandmark, 	Harriet Andersson, Gudrun Brost, Annika Tretow, 	Diff.	I. Bergman		Hilding Bladhet + Sven Nykvist + Göran Strindberg	Karl-Birger Blomdahl	
Lektion i kärlek (En)	Leçon d'amour (Une)	BERGMAN Ingmar	NB	1954 / Suède		com.	Gunnar Björnstrand, Ake Grönberg, Olof Winnerstrand, John Elfström, 	Eva Dahlbeck, Yvonne Lombard, Harriet Andersson, 	B.	I. Bergman		Martin Bodin	Dag Wiren	
Det sjunde inseglet	Septième sceau (Le)	BERGMAN Ingmar	NB	1956 / Suède	2	dr.	Gunnar Bjòrnstrand, Max Von Sydow, Nils Poppe, Ake Fridell, Bengt Ekerot, 	Bibi Andersson, Gunnel Lindbkom, Inga Gill, Inga Landgré, 	B.TB.	I. Bergman	"sa pièce ""Peinture sur bois"""	Gunnar Fischer	Erik Nordgren	
Nära livet	Au seuil de la vie	BERGMAN Ingmar	NB	1957 / Suède			Max Von Sydow, Erland Josephsson, Günnar Sjöberg, Lars Lind, 	Ingrid Thulin, Eva Dahlbeck, Bibi Andersson, 	?	I. Bergman	"nouv. ""Det vänliga, värdiga"" (L'amitié, la vanité"") de Ulla Isaksson"	Max Wilen		
Jung frukällan	Source (La)	BERGMAN Ingmar	NB	1959 / Suède		dr.	Max Von Sydow, Axel Düberg, Tor Isedal, Allan Edwall, Ove Porath, Axel Sangus, 	Gunnel Lindblom, Birgitta Valberg, Birgitta Petterson, 	TBeau.	Ulla Isaksson	"ballade ""La fille de Töre à Vänge"" tirée d'une vielle légende suédoise"	Sven Nykvist	Erik Nordgren	
Sommarnattens leende	Sourires d'une nuit d'été	BERGMAN Ingmar 	NB	1955 / Suède		com.	Gunnar Björnstrand, Björn Bjelvenstam, Jarl Kulle, Ake Fridell, 	Ulla Jacobsson, Eva Dahlbeck, Harriet Andersson, Bibi Anderson, Margit Carlquist, 	Exc.	I. Bergman		Gunnar Fisher	Erik Nordgren	
Smultronstället	Fraises sauvages (Les)	BERGMAN Ingmar 	NB	1958 / Suède		dr.	Victor Sjöström, Gunnar Björnstrand, Max Von Sydow, Folke Sundquist, Björn Bjelvenstam, 	Ingrid Thulin, Bibi Andersson, Gunnel Lindblom, Naima Wifstrand, 	B.TB.	I. Bergman		Gunnar Fisher	Erik Nordgren	
Djävulens öga	Oeil du Diable (L')	BERGMAN Ingmar 		1960 / Suède										
Sasom i en spegel	A travers le miroir	BERGMAN Ingmar 	NB	1961 / Suède		dr.	Gunnar Björnstrand, Max Von Sydow, Lars Passgãrdx, 	Harriett Andersson,	Diff.	I. Bergman		Sven Nykvist	Bach	
Nattvargsästerna	Communiants (Les)	BERGMAN Ingmar 	NB	1962 / Suède		dr.	Gunnar Björnstrand, Max Von Sydow, Allan Edwall, Olof Thunberg, Kolbjörn Knudsen, 	Ingrid Thulin, Gunnel Lindblom, Elsa Ebbesen, 	T.Exc.	I. Bergman		Sven Nykvist		
Tystnaden	Silence (Le)	BERGMAN Ingmar 	NB	1963 / Suède		dr.	Jörgen Lindström, Haakan Jahnberg, Birger Malmsten, Eduardo Gutierrez, les Eduardini (nains), Leif Forstenberg, 	Ingrid Thulin, Gunnel Lindblom, Lissi Alandh, 	B.	I. Bergman		Sven Nykvist	Bach	
För att inte om alla dessa kvinnor	Toutes ces femmes	BERGMAN Ingmar 		1963 / Suède										
Persona	Persona	BERGMAN Ingmar 		1966 / Suède										
Vargtimmen	Heure du loup (L')	BERGMAN Ingmar 	NB	1967 / Suède		dr.	Max Von Sydow, Erland Josephson, Bertil Andenberg, Georg Rydeberg, Ulf Johanson, 	Liv Ullmann, Ingrid Thulin, Gertrud Fridh, Gudrun Brost, 	TB.	I. Bergman		Sven Nykvist	Lars Johanson Werle	
Skammen	Honte (La)	BERGMAN Ingmar 		1968 / Suède										
Passion (En)	Passion (Une)	BERGMAN Ingmar 		1969 / Suède										
Beröringen	Lien (Le)	BERGMAN Ingmar 	Coul.	1970 / Suède	 / 5Ingmar Bergman + Lars-Owe Carlberg)	dr.	Elliot Gould, Max Von Sydow, 	Bibi Anderson, Sheila Reid, 	B.	Ingmar Bergman		Sven Nykvist	Carl Michael Bellman + William Byrd + Peter Covent + Jan Johansson	
Viskningar och rop	Cris et chuchotements	BERGMAN Ingmar 	Coul.	1973 / Suède	 / (Lars-Owe Carlberg)	dr.	Anders Ek, Erland Josephson, Henning Moritzen, Georg Arlin, 	Liv Ullmam, Ingrid Thulin, Harriett Anderson,Kari Sylwan, 	TB.	Ingmar Bergman		Sven Nykvist	Bach + Chopin	
Surcouf, l'eroe dei sette mari	Surcouf, le tigre des 7 mers	BERGONZELLI Sergio + ROWLAND Roy	Coul. / scope	1966 / F - I - E	 / Edic-Balcazar-Arco	av.	Gérard Barray, Terence Morgan, Armand Mestral, Gérard Tichy, Alberto Cevenini, Gianni Esposito, Fernando Sancho, Georges Rigaud, Aldo Sambrell, Gonzalo Esquiroz, Antonio Vidal Molina, Tomas Blanco, Vidal Molina, 	Geneviève Casile, Antonella Lualdi, Monica Randal, Rossella Bergamonti, 	Bon.	J. A De la Loma	scenario de Jacques Severac + Georges de la Grandière	Juan Gelpi	Georges Garvarentz	
Why Girls Leave Home		BERKE William	NB / 69mn	1945 / USA	 / Producers Releasing Corporation (PRC) (Samuel Sax)	pol., mus.	Sheldon Leonard, Elisha Cook Jr., Paul Guilfoyle, Thomas Jackson, Fred Kohler Jr., Walter Baldwin, Robert Emmett Keane, Joel Friedkin, Rex Lease	Lola Lane, Pamela Blake, Constance Worth, Claudia Drake, Virginia Brissac, Evelynne Eato, Peggy Lou Bianco	BonBon+. Un petit polar moralisateur assez anodin, pas très bien écrit, avec des numéros chantés en boîte de nuit par Lane. S. Leonard est un peu en dessous de ce qu’il fait quand il joue les crapules, mais L. Lane a de la présence.	Fanya Foss Lawrence + Bradford Ropes	hist. de Fanya Foss Lawrence	Mack Stengler	"Walter Greene	"	
Sunset pass		BERKE William	NB / 60mn	1946 / USA	2 / RKO (Herman Schlom)	western	James Warren, John Laurenz, Robert Barrat, Harry Woods, Robert Clarke, Steve Brodie, Harry Harvey, 	Nan Leslie, Jane Greer, 	"Bon+. Petit remake en mode ""B"" des versions originelles par Hathaway (1933, avec R. Scott et H. Carey) et Otto Brower (1929). L'action est assez bien menée mais le sidekick n'est pas au niveau, ainsi que les 2 héros, et le tout reste ainsi bien modeste. Joliment tourné dans les Alabama Hills, avec une Jane Greer débutante dans un registre léger où elle est rare."	Norman Houston	rom. de Zane Grey	Frank Redman	Paul Sawtell	
Dick Tracy	Dick Tracy détective	BERKE William	NB	1946 / USA	 / RKO (Herman Schlom)	pol.	Morgan Conway, Mike Mazurki, Lyle Latell, Joseph Crehan, Mickey Kuhn, Trevor Bardette, Morgan Wallace, Milton Parsons, William Halligan, 	Anne Jeffreys, Jane Greer, 	Bon-. Hormis la séquence de démarrage, bien filmée et montée, le reste est d'une pauvreté digne de la série Z. 	Eric Taylor	"B. D. ""Dick Tracy"" de Chester Gould"	Frank Redman	Roy Webb	
Deputy Marshal		BERKE William	NB / 3D effect (Garutso balanced lens (?) 67mn	1949 / USA	 / Ecxclusive Films (William Stephens	western	Jon Hall, Dick Foran, Joie Sawyer, Russell Hayden, Clem Bevans, Vince Barnett, Stanley Blystone, Kenne Duncan, Roy Butler, Wheaton Chambers, Forrest Taylor, 	Frances Lagford, Julie Bishop, Mary Gordon, 	Bon-. Une série Z faite comme un serial, au scenario sans grande logique, qui enfile les incongruités comme des perles, et les expose lourdement. Comble de ridicule, le héros part avec la plus moche des 2 héroïnes !	William Berke	"rom. ""Deputy Marshal"" de Charless Heckelmann"	Carl Berger	Mahlon Merrick	
Train to Tombstone		BERKE William	NB / 67mn	1950 / USA	 /Lippert Pict. / Donald Barry Prod. (Donald Barry + William Beke)	western	"Don ""Red"" Barry, Robert Lowery, Wally Vernon, Tom Neal, Claude stroud, Ed Cassidy, Bill Kennedy, Jack Perrin, "	Judith Allen, Barbara Stanley, Minna Phillips, Nan Leslie, 	Bon. Un scenario malingre, au service de Barry et par lui-même, piégé d'entrée par le cadre choisi, la gare puis le train. La réalisation n'est pas capable d'exploiter le huis-clos du wagon, et les extérieurs se résument au sempiternel même pauvre plan de train sur un fond de montagne. L'angle comique est efficacement fourni par W. Vernon, mais il n'y a aucun humour dans l'écriture. Statique, artificiel et pauvre.	Orville Hampton + Victor West	"hist. de Don ""Red"" Barry"	Ernest Miller	Albert Glasser	
FBI girl	Filles du service secret (Les)	BERKE William	NB / 74mn	1951 / USA	 / Jedgar Prod. (William Berke)	pol.	Cesar Romero, George Brent, Tom Drake, Raymond Burr, Raymond Greenleaf, Don Garner, Alexander Pope, Richard Monahan, Tommy Noonan, Peter Marshall, Walter Coy, Byron Foulger, Joel Marston, George Eldredge, O. Z. Whitehead, 	Audrey Totter, Margia Dean, Jan Kayne, Joi Lansing, 	Bon. Un polar hétéroclite et mal ficelé, d'apparence fauché, qui s'essaye pitoyablement par moments à glisser des séquences comiques dans un scenario voulu quasi-documentaire par moments, moralisateur à d'autres. On se demande pourquoi Romero est associé à Brent, sans raison ni succès, et on regrette en plus l'omniprésence d'une musique lourde et vaine.	Dwight Babcock + Richard Landau	hist. de Rupert Hughes	Jack Greenhalg	Darrell Calker	
Jungle (The)		BERKE William	NB / 73mn	1952 / USA	/Voltaire-Modern Theatres Ltd. (William Berke)	av., fant.	Rod Cameron, Cesar Romero, M.N. Nambiar, David Abraham, Ramakrishna	Marie Windsor, Ruby Mayer (= Sulochana), 	BonBon+. Une vraie curiosité ! Tourné dans un NB teinté sépia très élégant, très bien photographié dans de beaux paysages pour la plupart Indiens (du Tamil Nadu), on a un vrai sentiment de dépaysement, d’autant plus agréable si on connaît l’Inde ! Pour le reste, le scenario est totalement indigent, et pour toute action, hormis la charge finale des “mammouths” (les éléphants ont du avoir chaud !!!), la réalisation nous offre des séquences artificielles de combats d’animaux (ours contre tigre, panthère contre marcassin, naja contre mangouste, etc. !). La musique, très indienne, est assourdissante quand ce sont les cuivres et les vents qui jouent, mais est intéressante quand il y a des voix. 	Carroll Young + Orville Hampton	hist. de Rupert Hughes	Clyde De Vinna	"Dakshinamoorthy + G. Ramanathan
Chor. : Hiralal"	
Cop hater	Tueur se promène (Un)	BERKE William	NB / 75mn	1958 / USA	 / Barbizon prod. (William Berke)	pol.	Robert Loggia, Gerald O'Loughlin, russell Hardie, Hal Riddle, William Neff, Gene Miller, Vincent Gardenia, John Gertad, Ralph Stantley, Glenn Gannon, alan Manson, Jerry Orbach, Frank Dara, Ted Gunther, Johnny Seven, Linclon Kilkpatrick, 	Ellen Parker, Shirley Ballard, Sandra Stevens, Jan Kalionzes, 	"Bon. Une histoire classique de commissariat à la Ed McBain, probablement tiré d'un roman qui se tient, mais gâché par une mise en scène très morne et une direction d'acteur très lâche, qui leur laisse la bride sur le dos en poussant à cabotiner à la manière des années 60 (genre Actor's studio mal compris). Mais ces défauts du mauvais cinéma de l'époque sont presque les éléments ""intéressants"" du film, consolidés par un érotisme et un voyeurisme sans idée. "	Henry Kane	"rom. ""Cop hater"" d'Ed McBain"	J. Burgi Contner	Albert Glasser	
Gold diggers of 1935	Chercheuses d’or de 1935	BERKELEY Busby	NB / 95mn	1935 / USA	2 / WR	com. mus.	Dick Powell, Hugh Herbert, Adolphe Menjou, Frank McHugh, Grant Mitchell, Joseph Cawthorne, Thomas Jackson, Phil Tead, Eddie Kane, Arthur Aylesworth, Gordon (Bill) Elliott, John Quillan, Don Brodie, Ray Cooke, Franklyn Farnum, Charles Coleman, E. E. Clive, Leo White, Eddie Fetherstone, Billy Newell, George Riley, Harry Seymour, Dennis O’Keefe, 	Gloria Stuart, Dorothy Dare, Alice Brady, Glende Farrell, Winifred Shaw, Virginia Grey, Emily La Rue, Matty King, Nora Cecil, 	"Exc puis B+. Revu 50 ans après (!!! et aussi plus de 10.000 films plus tard !!!), le regard est évidemment différent. Les angles comiques du scenario sont faibles et mécaniques, et le gratin de la comédie des années 30 travaillera sur des ingrédients bien supérieurs ; par ailleurs, l’acharnement de chaque personnage a prendre sa part du gâteau résonne étrangement après la crise de 29. Ce qui compte ici tient bien plus à la mise en place des numéros, qui occupe toute la dernière demi-heure : le numéro des pianos mouvants, filmé sans effet (si ce n’est passé en “marche arrière”, c. à d. démarrant en fait avec les pianos en carré qui s’écartent ensuite) est sidérant de réglage par moments. Le “Lullaby of Broadway” (morceau qui reçu un Oscar, ici extraordinairement chanté par Winifred Shaw), avec son lent travelling sur le premier couplet, puis le même travelling inversé pour conclure à toute allure le dernier couplet, est par moments extraordinaire, créant une manière de chef d’oeuvre visuel."	Manuel Seff + Peter Milne 	hist. de Robert Lord + Peter Milne	George Barnes	"Harry Warren+ Al DubinChor. : B. Berkeley"	
